Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes,Reason
"(555, 729)",0.0021674063270354514,8.603225410586909,8.483699459666378,0.25317496077858553,0.24939110414985693,0.014945619492117812,207.63939946944146,20.370672215449368,Bad sizing
"(593, 729)",0.0004703000793190335,8.747741179391681,8.715599368978863,0.2398207840073617,0.21995813965109282,0.08282286474244527,64.01583522114902,21.569030108588272,Bad sizing
"(658, 729)",0.0031977124510429978,8.499999938683471,8.500000251922343,0.23212865506847005,0.23218030228813885,0.0002224444501097711,55.016087273654364,20.39900739675999,Bad sizing
"(721, 729)",0.0015745645618327037,8.499991964339971,8.499993535217325,0.24520804723384002,0.24504877589417612,0.0006495355330324859,66.25947540249125,21.41674495156279,Bad sizing
"(23, 730)",0.030064608219097403,7.442172109489767,8.074080123953747,0.3649846192649307,0.23664177277888365,0.35163905466626544,21.828868267598892,22.068026596568338,Bad sizing
"(542, 730)",0.004582938474985735,8.49999996887956,8.499999972770734,0.23214004717093556,0.23213882638057437,5.25885290392214e-06,68.163051818879,20.38618090060381,Bad sizing
"(33, 731)",0.007938104523597653,8.500002405761371,8.500002766939204,0.21530216534385743,0.21533008752848967,0.0001296715426660766,731.7315753217406,18.675392013016143,Bad sizing
"(284, 731)",0.00217094573206697,8.519792150540523,8.519233202942612,0.24948274688437164,0.2469324719141789,0.010222249843091169,66.69312150017298,21.557729327072416,Bad sizing
"(327, 731)",0.0018367071384003814,8.499971758713372,8.49991882560073,0.24357877455927354,0.2506019524322254,0.028025232065385652,126.65768826879471,20.534281425137337,Bad sizing
"(341, 731)",0.004558197562163883,8.275804588315065,8.275918030459119,0.22388673718937965,0.22383465292791288,0.0002326366542325653,139.29340438054288,19.746220282979714,Bad sizing
"(343, 731)",0.005083203025604933,8.499999986785165,8.499999888501238,0.23213831398460075,0.23215130123318434,5.59430359192703e-05,96.94841840420378,20.06967414997532,Bad sizing
"(537, 731)",0.004867370556732955,8.460792497926565,8.267650109903927,0.2356937078435672,0.21759074626808295,0.07680714831598046,274.94360363971884,19.294604484801958,Bad sizing
"(539, 731)",0.0027392951683073443,8.687635450671825,8.312408525272952,0.2104546916690487,0.21043288927228107,0.00010359662972925232,268.68155593651284,19.336917190229983,Bad sizing
"(554, 731)",0.0016915813033181366,8.698464871707928,8.536447894529326,0.22010255412036914,0.23861943931011634,0.07760006998290758,221.9948507936572,20.318259852894656,Bad sizing
"(22, 732)",0.014887891042115856,10.61895163576389,8.194586352366127,0.5748043575633348,1.6687680343738918,0.6555516730166774,25.8984717963545,21.792381605998123,"Not elliptical,Bad sizing"
"(30, 732)",0.011209993843532298,10.000037418187667,7.999978645313179,0.2173216281806597,0.25984161151358776,0.1636380835434612,68.54793448355169,21.09533171406951,Bad sizing
"(35, 732)",0.02181136857542822,8.288824255949413,8.141157032910709,0.2263647953150072,0.2971982598623094,0.23833741348323856,540.6119707505704,18.757991926797708,Bad sizing
"(541, 732)",0.004595419167600215,8.499999978702052,8.499999978688562,0.23213866974764288,0.2321386679141648,7.898201981326736e-09,127.9272469345543,19.811351158639532,Bad sizing
"(551, 732)",0.001999674267969524,8.500001581814098,8.500002727808326,0.24501554772423578,0.24491006154157272,0.0004305285262214964,83.0651144477521,21.083294623216922,Bad sizing
"(649, 732)",0.007893932723182548,8.757537316267133,8.29657107660377,0.6471743694625426,0.3281074441130001,0.49301539184025056,56.42530586925018,20.15108779604264,"Not elliptical,Bad sizing"
"(728, 732)",0.007475155094974708,9.601280518183183,7.4301330599850575,0.3966889868446348,0.4034758986169113,0.016821108263322726,150.26750625307375,20.450403803539132,Bad sizing
"(9, 733)",0.009689711664438756,8.392531056204525,6.839969533650549,2.9999999999999996,2.308105925478401,0.23063135817386626,3.842870753975556,23.423796223280917,Bad sizing
"(18, 733)",0.04182818357954642,8.000002508720947,7.533682770181659,0.270131580912731,0.35986628099934137,0.24935567688481108,150.09158402322984,20.208351439328602,Bad sizing
"(151, 733)",0.002996985994502683,8.214683881819877,8.517861245428533,0.23628373504637348,0.2710964977546316,0.128414653072232,53.92111175704754,22.04220457398663,Bad sizing
"(536, 733)",0.009647995541432332,8.429617398880994,8.50055030791976,0.2734995177134631,0.2741340454674929,0.002314662350485275,378.5670891411973,19.09592624100872,Bad sizing
"(538, 733)",0.005043478379771616,8.741624753899648,8.56481827102827,0.2359890603026149,0.24789656195758633,0.048034154088061665,337.7822167764623,19.174511664471005,Bad sizing
"(730, 733)",0.004901298987095287,8.505871710792432,8.596777829101852,0.280981360126245,0.27848299306928953,0.008891575782225991,324.9428033037374,19.998540212993547,Bad sizing
"(22, 734)",0.015292026818859392,8.619449267165825,8.198421441257322,0.5746542657742798,1.665379413602201,0.6549409335309918,85.52766472239878,20.662629842718857,"Not elliptical,Bad sizing"
"(437, 734)",0.0015277054911510262,8.50000003888513,8.499999954333937,0.26135581276002406,0.26135318560359444,1.0052029843499177e-05,4.572070202358673,24.06511870503664,Bad sizing
"(603, 734)",0.0027782829973520395,10.735717583358465,4.855607801250948,1.2417651879166858,1.8216141461121427,0.3183160162831542,28.74019745893363,22.83387069326156,Bad sizing
"(16, 735)",0.023460106172975607,8.114716606022647,7.885316140172545,0.25620378044513725,0.25621426409522113,4.0917511446525445e-05,4.878453588434717,23.353967191935247,Bad sizing
"(409, 735)",0.06827820995151856,8.47892682572992,5.782923468494259,0.26892237823267506,0.6896362259738182,0.6100518387749477,60.945725811338754,21.002996085962046,"Not elliptical,Bad sizing"
"(492, 735)",0.01269365913327421,8.499999978637238,8.499999979380037,0.2057400953139335,0.2057415278812506,6.962946819011329e-06,1511.4215528181483,18.06217688143896,Bad sizing
"(537, 735)",0.0044242172146618484,8.500117794126218,8.500017403586087,0.23704026537499545,0.2311934775675803,0.02466580012541575,27.376451888525796,21.327721666185717,Bad sizing
"(675, 735)",0.006564296426271212,8.49999997535713,8.49999997542698,0.21494383305834783,0.21494383359048128,2.475685989544729e-09,111.35148836471832,19.2189281834996,Bad sizing
"(13, 736)",0.02912194722204407,8.190906694517157,10.000000252441545,0.2000260084025051,0.26280259623202357,0.2388735451231775,163.5064670593702,19.94714701022324,Bad sizing
"(21, 736)",0.015495432587189797,6.619595694176154,9.199615513667554,0.574949015910153,1.6623244178879146,0.6541294769400903,108.323513400252,20.501202828543725,"Not elliptical,Bad sizing"
