Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes
"(496, 612)",0.0844618366678264,8.21761472002395,6.27896852246323,0.8549957337747434,0.8075716174260851,0.05546707951311558,68.13215451960141,23.201188974565007
"(225, 613)",1.4640679173871605,11.324318454874714,8.558519955237063,0.9074523363357688,0.838202096954959,0.07631281182264371,1126.8777625620783,19.45540558683725
"(334, 613)",0.032623021464235596,9.426620135084713,5.467839583637141,0.8562857149036565,0.8626015613503215,0.0073218583522828284,45.929929946954445,24.188842333017803
"(385, 613)",1.00305272842961,8.660325632358157,6.409680313601524,0.6797709769966795,0.6841862472806158,0.0064533163323369225,95.80950135337685,19.624907535035504
"(525, 613)",0.01733025539000513,8.367681555746334,9.002463175648971,0.7299552298173363,0.6574118598499648,0.09938057432032477,15.774953980031565,24.848546481985714
"(222, 614)",1.4640500449789853,10.324316408766228,11.558515110999823,0.9074846489992383,0.8382361520724199,0.07630817447235583,1052.8271859652432,19.531941446667183
"(227, 614)",1.4663401304884145,10.324571751965687,6.559113306985683,0.9029783731961356,0.8335212696102612,0.07692000788460485,779.1955944220826,19.520802838191194
"(492, 614)",0.08389182452593015,6.216674218518781,10.278928886843604,0.8771296034212681,0.8303544754572534,0.05332749890274713,156.70515975762078,22.55038300748153
"(494, 614)",0.0839477466146199,6.216748020965084,8.278914395766458,0.8750520250480464,0.8282231936110143,0.053515482618831545,130.52929149567797,22.72334454194204
"(496, 614)",0.08452827057176085,6.217761730433933,6.279016871539341,0.8521484245592411,0.804593733295998,0.05580564358590456,59.970372620199086,23.309014042413665
"(224, 615)",1.4648604521848632,9.324406181706282,9.558727357431978,0.9058930723029794,0.8365727522949984,0.07652152569370418,942.706971197917,19.520847241193934
"(335, 615)",0.005102745576024821,4.02157562493403,8.678138153029913,0.8168887235496717,0.5171834876048554,0.36688624448442686,17.125094153174274,25.1546500764804
"(221, 616)",1.4614111214198813,8.324029492594361,12.557821909550219,0.9126823250378802,0.8436498728107772,0.07563688956531267,1897.1213592801737,19.474584382066872
"(226, 616)",1.4651379919890262,8.32443701376674,7.55879978947727,0.9053450033704294,0.8359997175005437,0.07659542562418331,906.349965372775,19.521639424455337
"(228, 616)",1.4673416249570954,8.324685128682633,5.559373193576794,0.9010011400217537,0.8314471611232157,0.07719632729527814,658.5163650964043,19.581742341999288
"(329, 616)",0.0322915529756462,6.421618303921246,10.468546089141533,0.8964229436797962,0.9052804755531061,0.009784295710009716,120.45727899989764,23.457842519645617
"(603, 616)",1.5513762547370045,5.528533077812859,5.102852711180866,0.9050622621816888,0.7319927475308085,0.19122387694487386,905.8527282025541,19.50528512176063
"(223, 617)",1.4617148953009904,7.324062352583395,10.557902463116964,0.9120884454752695,0.8430326721560345,0.07571170719441744,1801.503182247093,19.44697387329736
"(331, 617)",0.032233259426998596,5.420813158126915,8.468643200713345,0.9033096012097954,0.9126557955691577,0.010240656340251175,125.85491528430701,23.47179854643396
"(225, 618)",1.4615903688023528,6.324049219281198,8.557870272010074,0.912343851783664,0.8432971652787495,0.07568055220619474,1898.4703072599389,19.425909386841127
"(227, 618)",1.4648983665019588,6.324410277480032,6.558737002906589,0.9058139959200814,0.8364905548024963,0.07653165156403852,944.2349116908499,19.512839030850515
